GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff
90001,2011,17020,54760,952,309400,6.1,0.279894083272462,14,21,7
90002,2011,17749,46509,918,289300,4.9,0.323507278161216,5,7,2
90003,2011,15518,66183,974,303000,6.9,0.377347657253373,7,8,1
90004,2011,20042,63932,1004,844800,8.1,0.229462553963586,34,59,25
90005,2011,17349,41178,910,653700,8.3,0.247632230802856,26,29,3
90006,2011,14873,57912,868,516400,8.9,0.312249620113275,39,40,1
90007,2011,12226,42265,911,445100,6.6,0.365195788477464,26,40,14
90008,2011,21934,34429,986,543200,7.3,0.236515728019983,27,23,-4
90010,2011,32476,3229,1557,567100,5.9,0.200061938680706,120,58,-62
90011,2011,15056,101523,940,349100,5.5,0.411827861666814,11,18,7
90012,2011,13082,29298,960,419600,2.9,0.259539900334494,42,37,-5
90013,2011,11769,8216,489,285000,9.7,0.496835443037975,54,48,-6
90014,2011,11891,5204,361,326900,7.2,0.46771714066103,70,46,-24
90015,2011,14676,17957,779,455800,6.9,0.353344099793952,114,89,-25
90016,2011,20123,46871,1010,417300,7.8,0.214482302489812,27,37,10
90017,2011,14221,22401,769,484300,5.2,0.476184098924155,96,75,-21
90018,2011,17385,48212,928,409300,8.2,0.267277856135402,13,25,12
90019,2011,21840,63894,1100,650600,6.8,0.20352458759821,55,56,1
90020,2011,22753,40596,1085,555200,8.1,0.170780372450488,34,38,4
90021,2011,12791,2603,422,489100,10.1,0.436803688052247,73,77,4
90022,2011,16984,67322,895,345700,7.1,0.23282136597249,23,22,-1
90023,2011,16660,44706,942,339400,4.6,0.327025455196171,25,36,11
90024,2011,15572,49427,1746,1000001,4.9,0.22313715175916,81,94,13
90025,2011,40467,42653,1487,689200,5.6,0.116498253346775,171,142,-29
90026,2011,22116,70052,1002,616700,9.6,0.205418831725004,40,32,-8
90027,2011,28340,45491,1125,829700,6.5,0.205073531028115,45,41,-4
90028,2011,20788,27434,1015,645500,7.9,0.251731428154844,81,62,-19
90029,2011,18683,38563,933,550400,8.3,0.232269273656095,21,11,-10
90031,2011,16201,39076,912,366500,7.2,0.290306070222131,17,16,-1
90032,2011,18990,48729,980,363200,8.1,0.173038642286934,19,5,-14
90033,2011,15643,49102,870,351600,8.6,0.317115392448373,12,14,2
90034,2011,33240,59662,1341,689900,6,0.149291006000469,63,54,-9
