GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff,Professional_Scientific_Technical,RetailTrade,Accommodation_FoodServices,Administrative _Support_WasteManagement_Remediation,Agriculture_Forestry_Fishing_Hunting,Arts_Entertainment_Recreation,Construction,EducationalServices,Finance_nsurance,HealthCare_SocialAssistance,Information,ManagementCompanies_Enterprises,Manufacturing,Other,PublicAdministration,RealEstate_Rental_Leasing,Transportation_Warehousing,Utilities,WholesaleTrade,Mining_Quarrying_Oil_Gas
90001,2011,17020,54760,952,309400,6.1,0.279894083272462,14,21,7,0.0540227986122584,0.22616884189658,0.0358499917396332,0.153973236411697,0.00214769535767388,0.0150338675037172,0.0419626631422435,0.00875598876590121,0.0246158929456468,0.0376672724268958,0.0142078308276888,0.00132165868164547,0.0768214108706427,0.162398810507187,0.0029737320337023,0.0241202709400297,0.0406410044605981,0.000826036676028416,0.0764909962002313,
90002,2011,17749,46509,918,289300,4.9,0.323507278161216,5,7,2,0.0487035739313245,0.156271899088998,0.0220742817098809,0.210231254379818,0.00210231254379818,0.0220742817098809,0.0630693763139453,0.0147161878065872,0.024176594253679,0.0697266993693062,0.0210231254379818,0.000700770847932726,0.0311843027330063,0.163629992992292,0.00595655220742817,0.0273300630693763,0.0672740014015417,0.00175192711983182,0.0469516468114926,0.00105115627189909
90003,2011,15518,66183,974,303000,6.9,0.377347657253373,7,8,1,0.0418809698750918,0.211168258633358,0.0376193975018369,0.164437913299045,0.00102865540044085,0.0113152094048494,0.0543717854518736,0.0123438648052902,0.0210139603232917,0.0521675238795004,0.0144011756061719,0.000440852314474651,0.0446730345334313,0.218221895664952,0.00308596620132256,0.0255694342395298,0.0402645113886848,0.000293901542983101,0.0452608376193975,0.000440852314474651
90004,2011,20042,63932,1004,844800,8.1,0.229462553963586,34,59,25,0.098155808341951,0.127111340916925,0.0376594277835229,0.242416408135126,0.00206825232678387,0.0324026197862806,0.0457600827300931,0.0140468803860738,0.0345570492933471,0.0743709065839366,0.0615305067218201,0.00189589796621855,0.0231816614960359,0.0947087211306446,0.00112030334367459,0.0488624612202689,0.0153395380903137,0.000430885901413306,0.0439503619441572,0.000430885901413306
90005,2011,17349,41178,910,653700,8.3,0.247632230802856,26,29,3,0.0980416007784941,0.140372217491789,0.0510886753436322,0.246198759275027,0.00194623525118599,0.0257876170782143,0.0442768519644812,0.0158131614158861,0.0403843814621092,0.0692129911203017,0.0341807565989539,0.000851477922393869,0.0177593966670721,0.0980416007784941,0.00243279406398248,0.0463447269188663,0.0154482423062888,0.000121639703199124,0.0514535944532295,0.000243279406398248
90006,2011,14873,57912,868,516400,8.9,0.312249620113275,39,40,1,0.066710452242447,0.192812910489773,0.0472884218427472,0.192719084255958,0.0011259148057797,0.0158566335147307,0.0515106023644211,0.0116344529930569,0.0351848376806155,0.0940138862826046,0.0216738600112592,0.000562957402889848,0.0235503846875586,0.131544379808594,0.00131356727340965,0.0325577031337962,0.0219553387127041,0.000656783636704823,0.0571401763933196,0.000187652467629949
90007,2011,12226,42265,911,445100,6.6,0.365195788477464,26,40,14,0.0659657028414069,0.179872324446113,0.0443109275253474,0.175616472649894,0.0021279258981099,0.0175240956314933,0.0341719864814119,0.0168982350732257,0.0285392414570034,0.0499436725497559,0.0221554637626737,0.00125172111653524,0.0798598072349481,0.098009763424709,0.00550757291275504,0.0389285267242458,0.0189009888596821,,0.119539366629115,0.000876204781574665
90008,2011,21934,34429,986,543200,7.3,0.236515728019983,27,23,-4,0.102759009009009,0.119369369369369,0.0298423423423423,0.230433558558559,0.00168918918918919,0.0301238738738739,0.0326576576576577,0.0170326576576577,0.0418074324324324,0.0914977477477477,0.0385698198198198,0.00211148648648649,0.0168918918918919,0.140484234234234,0.00140765765765766,0.0505349099099099,0.0226632882882883,0.000422297297297297,0.029420045045045,0.000281531531531532
90010,2011,32476,3229,1557,567100,5.9,0.200061938680706,120,58,-62,0.224089900373011,0.0724774540818736,0.0242221068039095,0.170026913452004,0.00203031304594173,0.0206336465366637,0.0318711931630389,0.0172340525992729,0.10807875725955,0.0669531139336135,0.0398035790169508,0.00448557533405732,0.0173284857642004,0.0666698144388309,0.00424949242173851,0.0541574200859342,0.0113791963737665,0.000236082912318806,0.0637423863260777,0.000330516077246329
90011,2011,15056,101523,940,349100,5.5,0.411827861666814,11,18,7,0.0442711608602692,0.242610992328009,0.0334549113319079,0.181738146145139,0.00150924412023645,0.0128285750220098,0.0399949691862659,0.0142120487988932,0.0199974845931329,0.0344610740787322,0.0149666708590114,0.000503081373412149,0.0742045025782921,0.136963903911458,0.00163501446358949,0.0247767576405484,0.0387372657527355,0.000754622060118224,0.0823795748962395,
90012,2011,13082,29298,960,419600,2.9,0.259539900334494,42,37,-5,0.123339658444023,0.149525616698292,0.0657495256166983,0.195825426944972,0.00275142314990512,0.0315939278937381,0.0234345351043643,0.0135673624288425,0.0421252371916509,0.0602466793168881,0.0345351043643264,0.00199240986717268,0.0248576850094877,0.0784629981024668,0.0404174573055029,0.0370967741935484,0.0161290322580645,0.00132827324478178,0.0569259962049336,9.4876660341556e-05
90013,2011,11769,8216,489,285000,9.7,0.496835443037975,54,48,-6,0.119696250593261,0.175984812529663,0.0414807783578548,0.167062173706692,0.00161366872330328,0.0238253440911248,0.0141433317513052,0.00579022306597057,0.0306597057427622,0.0307546274323683,0.036734693877551,0.00199335548172757,0.0473659231134314,0.054485049833887,0.00787850023730422,0.0296155671570954,0.0105363075462743,0.000854295206454675,0.198576174655909,0.00094921689606075
90014,2011,11891,5204,361,326900,7.2,0.46771714066103,70,46,-24,0.0811897106109325,0.252143622722401,0.0310825294748124,0.163719185423366,0.00207663451232583,0.0133306538049303,0.0102491961414791,0.00368435155412647,0.025120578778135,0.014871382636656,0.0182877813504823,0.00167470525187567,0.105707395498392,0.0597534833869239,0.00180868167202572,0.0270632368703108,0.00636387995712755,6.69882100750268e-05,0.181270096463023,0.000535905680600214
90015,2011,14676,17957,779,455800,6.9,0.353344099793952,114,89,-25,0.082354560469811,0.230455129381538,0.0283538263901633,0.16071756285557,0.00188107909708203,0.0158744723802533,0.0150945127546339,0.00770783630023858,0.0299596256193797,0.0322536245182602,0.0184896311249771,0.00229399889888053,0.0835474398972288,0.0487245366122224,0.00183519911910442,0.0324371444301707,0.0121123141860892,0.000229399889888053,0.195494586162599,0.000183519911910442
90016,2011,20123,46871,1010,417300,7.8,0.214482302489812,27,37,10,0.0958904109589041,0.136865074554491,0.0310340647351194,0.220875257606983,0.0018184022305734,0.0304279306582616,0.0592799127166929,0.0144259910292157,0.0286095284276882,0.0459449630258213,0.0437628803491332,0.0012122681537156,0.0379439932112983,0.133591950539459,0.00230330949205964,0.0345496423808947,0.0309128379197479,0.000727360892229361,0.049339313856225,0.000484907261486241
90017,2011,14221,22401,769,484300,5.2,0.476184098924155,96,75,-21,0.21155330946866,0.0708219274233172,0.0355864392503685,0.1824945602583,0.00294798905032638,0.0204955429213168,0.0226714396013196,0.0134765213729206,0.0986874429704499,0.0783322804801011,0.0466764932968344,0.00744016284129992,0.0190215483961536,0.0678739383729908,0.00596616831613673,0.0630308135045975,0.0131255702955008,0.00105285323225942,0.0369200533445638,0.001824945602583
90018,2011,17385,48212,928,409300,8.2,0.267277856135402,13,25,12,0.0800596718050721,0.133267031327698,0.0270180672965357,0.225592574175369,0.00314934526769435,0.0275153323388033,0.0634841703961545,0.0172385214652743,0.0256920271838223,0.0633184153820653,0.0304989225924084,0.000331510028178352,0.02817835239516,0.157135753356539,0.00182330515498094,0.0391181833250456,0.0338140228741919,0.000828775070445881,0.0416045085363832,0.000331510028178352
90019,2011,21840,63894,1100,650600,6.8,0.20352458759821,55,56,1,0.0977028865044582,0.122638658002116,0.0344567024331268,0.249357714976576,0.00219132537403657,0.0326431917787517,0.0587124074353937,0.0137524557956778,0.0293184222457307,0.054178630799456,0.0441287592564606,0.00113344415898443,0.0257669638809128,0.133141907208705,0.00113344415898443,0.0361190871996373,0.0175306029922926,0.000377814719661478,0.0452622034154451,0.000453377663593774
